wavenumber_cm,absorption,cd
17726.4974,1.80255527e-03,-1.08412098e+02
17726.9475,1.80503197e-03,-1.08620404e+02
17727.3976,1.80751382e-03,-1.08829246e+02
17727.8477,1.81000082e-03,-1.09038623e+02
17728.2978,1.81249301e-03,-1.09248539e+02
17728.7479,1.81499039e-03,-1.09458995e+02
17729.1980,1.81749297e-03,-1.09669993e+02
17729.6482,1.82000077e-03,-1.09881533e+02
17730.0983,1.82251381e-03,-1.10093619e+02
17730.5484,1.82503210e-03,-1.10306252e+02
17730.9985,1.82755566e-03,-1.10519434e+02
17731.4486,1.83008449e-03,-1.10733166e+02
17731.8987,1.83261862e-03,-1.10947450e+02
17732.3488,1.83515806e-03,-1.11162289e+02
17732.7989,1.83770282e-03,-1.11377683e+02
17733.2491,1.84025292e-03,-1.11593634e+02
17733.6992,1.84280837e-03,-1.11810146e+02
17734.1493,1.84536919e-03,-1.12027218e+02
17734.5994,1.84793540e-03,-1.12244853e+02
17735.0495,1.85050701e-03,-1.12463054e+02
17735.4996,1.85308403e-03,-1.12681821e+02
17735.9497,1.85566648e-03,-1.12901156e+02
17736.3998,1.85825437e-03,-1.13121062e+02
17736.8500,1.86084773e-03,-1.13341540e+02
17737.3001,1.86344656e-03,-1.13562592e+02
17737.7502,1.86605089e-03,-1.13784221e+02
17738.2003,1.86866072e-03,-1.14006427e+02
17738.6504,1.87127607e-03,-1.14229213e+02
17739.1005,1.87389696e-03,-1.14452580e+02
17739.5506,1.87652341e-03,-1.14676532e+02
17740.0008,1.87915543e-03,-1.14901068e+02
17740.4509,1.88179303e-03,-1.15126192e+02
17740.9010,1.88443623e-03,-1.15351906e+02
17741.3511,1.88708505e-03,-1.15578210e+02
17741.8012,1.88973951e-03,-1.15805108e+02
17742.2513,1.89239961e-03,-1.16032601e+02
17742.7014,1.89506538e-03,-1.16260690e+02
17743.1515,1.89773683e-03,-1.16489379e+02
17743.6017,1.90041398e-03,-1.16718669e+02
17744.0518,1.90309685e-03,-1.16948562e+02
17744.5019,1.90578544e-03,-1.17179060e+02
17744.9520,1.90847979e-03,-1.17410165e+02
17745.4021,1.91117989e-03,-1.17641878e+02
17745.8522,1.91388578e-03,-1.17874203e+02
17746.3023,1.91659746e-03,-1.18107141e+02
17746.7524,1.91931496e-03,-1.18340694e+02
17747.2026,1.92203828e-03,-1.18574863e+02
17747.6527,1.92476746e-03,-1.18809652e+02
17748.1028,1.92750250e-03,-1.19045062e+02
17748.5529,1.93024341e-03,-1.19281095e+02
17749.0030,1.93299023e-03,-1.19517753e+02
17749.4531,1.93574296e-03,-1.19755039e+02
17749.9032,1.93850162e-03,-1.19992954e+02
17750.3533,1.94126623e-03,-1.20231501e+02
17750.8035,1.94403681e-03,-1.20470681e+02
17751.2536,1.94681337e-03,-1.20710497e+02
17751.7037,1.94959593e-03,-1.20950951e+02
17752.1538,1.95238451e-03,-1.21192044e+02
17752.6039,1.95517912e-03,-1.21433780e+02
17753.0540,1.95797979e-03,-1.21676160e+02
17753.5041,1.96078652e-03,-1.21919186e+02
17753.9542,1.96359935e-03,-1.22162861e+02
17754.4044,1.96641828e-03,-1.22407186e+02
17754.8545,1.96924333e-03,-1.22652164e+02
17755.3046,1.97207453e-03,-1.22897798e+02
17755.7547,1.97491188e-03,-1.23144088e+02
17756.2048,1.97775541e-03,-1.23391038e+02
17756.6549,1.98060514e-03,-1.23638650e+02
17757.1050,1.98346108e-03,-1.23886925e+02
17757.5551,1.98632326e-03,-1.24135867e+02
17758.0053,1.98919168e-03,-1.24385477e+02
17758.4554,1.99206637e-03,-1.24635757e+02
17758.9055,1.99494734e-03,-1.24886710e+02
17759.3556,1.99783462e-03,-1.25138339e+02
17759.8057,2.00072823e-03,-1.25390644e+02
17760.2558,2.00362818e-03,-1.25643630e+02
17760.7059,2.00653448e-03,-1.25897297e+02
17761.1560,2.00944717e-03,-1.26151648e+02
17761.6062,2.01236625e-03,-1.26406686e+02
17762.0563,2.01529175e-03,-1.26662413e+02
17762.5064,2.01822369e-03,-1.26918831e+02
17762.9565,2.02116208e-03,-1.27175943e+02
17763.4066,2.02410695e-03,-1.27433750e+02
17763.8567,2.02705831e-03,-1.27692256e+02
17764.3068,2.03001618e-03,-1.27951462e+02
17764.7569,2.03298058e-03,-1.28211372e+02
17765.2071,2.03595153e-03,-1.28471986e+02
17765.6572,2.03892905e-03,-1.28733309e+02
17766.1073,2.04191316e-03,-1.28995341e+02
17766.5574,2.04490388e-03,-1.29258087e+02
17767.0075,2.04790123e-03,-1.29521547e+02
17767.4576,2.05090523e-03,-1.29785724e+02
17767.9077,2.05391589e-03,-1.30050622e+02
17768.3578,2.05693325e-03,-1.30316242e+02
17768.8080,2.05995731e-03,-1.30582586e+02
17769.2581,2.06298810e-03,-1.30849658e+02
17769.7082,2.06602563e-03,-1.31117460e+02
17770.1583,2.06906994e-03,-1.31385994e+02
17770.6084,2.07212103e-03,-1.31655263e+02
17771.0585,2.07517893e-03,-1.31925269e+02
17771.5086,2.07824366e-03,-1.32196014e+02
17771.9587,2.08131524e-03,-1.32467502e+02
17772.4089,2.08439369e-03,-1.32739736e+02
17772.8590,2.08747903e-03,-1.33012716e+02
17773.3091,2.09057129e-03,-1.33286447e+02
