wavenumber_cm-1,wavelength_nm,published_fit_reconstruction_normalized,resonant_corrected_J,100_cm-1_detuning,constrained_fit_gap,unconstrained_fit_gap,corrected_charge_smoke_diagnostic
20237.5,494.1321803582458,-0.2358346571563336,-0.13050972872047942,-0.14742010852911275,-0.16993584320341387,-0.1853770616113591,-0.7340025286294033
20240.0,494.0711462450593,-0.2354897452088315,-0.12998645170251694,-0.14675652941917847,-0.16905532774724416,-0.1843638506587574,-0.7348822602091979
20242.5,494.01012720760775,-0.23515143300629404,-0.129465556514708,-0.146096628279137,-0.1681805592644319,-0.1833575266828515,-0.7357145925757979
20245.0,493.9491232403062,-0.23481968454752755,-0.1289470380837447,-0.14544038673376622,-0.16731149873862627,-0.18235804156445212,-0.7364992355777624
20247.5,493.8881343375725,-0.23449446369741625,-0.12843089116041354,-0.14478778637699294,-0.16644810732406226,-0.18136534739300153,-0.7372359162500923
20250.0,493.82716049382714,-0.23417573418432241,-0.12791711032535155,-0.14413880877608948,-0.16559034634821132,-0.18037939647025483,-0.7379243790726965
20252.5,493.7662017034934,-0.2338634595973119,-0.1274056899946639,-0.14349343547574495,-0.1647381773143033,-0.1794001413137889,-0.7385643862133922
20255.0,493.7052579609973,-0.23355760338321116,-0.1268966244254062,-0.14285164800201514,-0.16389156190372584,-0.1784275346603393,-0.7391557177550098
20257.5,493.6443292607676,-0.23325812884350022,-0.12638990772093203,-0.14221342786615165,-0.16305046197830003,-0.17746152946897564,-0.7396981719062012
20260.0,493.58341559723596,-0.23296499913104393,-0.12588553383611298,-0.14157875656831623,-0.16221483958244065,-0.17650207892411326,-0.7401915651955839
20262.5,493.52251696483654,-0.23267817724666623,-0.12538349658242998,-0.14094761560118102,-0.16138465694520082,-0.17554913643837317,-0.7406357326488722
20265.0,493.4616333580064,-0.23239762603557193,-0.12488378963294038,-0.14031998645341853,-0.16055987648220715,-0.17460265565528924,-0.7410305279486797
20267.5,493.4007647711854,-0.23212330818361868,-0.1243864065271251,-0.13969585061308357,-0.15974046079748613,-0.17366259045186916,-0.7413758235767128
